"province_cn","year","city","IID","province","income","industry","education","gender","age","health","non_cognitive_score","cognitive_score","comprehensive_score","city_cn.x","city_tech","city_edu","city_industry","city_cn.y","robot_install","robot_stock","company","Yangtze","region","lag_company","ln_income","ln_company","robot","cable_per_area","industry_type"
"上海市","2014",310100,3104010013410001,310000,60000,"11",12,1,27,5,3.64210874899179,3.57204876532415,3.37496539652647,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.0020998412042,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3101010002300002,310000,60000,"8",12,0,44,3,3.78666309047099,2.99602323256257,3.42964541946271,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.0020998412042,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3106010000810002,310000,2e+05,"6",16,1,42,4,3.82900760244561,2.40001016882767,3.42964541946271,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,12.2060726455302,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3104010011010002,310000,150000,"13",19,1,47,3,2.80919793707505,3.57204876532415,2.93647219116355,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.9183905730784,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3106010003910001,310000,40000,"13",22,0,30,4,3.40896217409222,3.03191783328561,3.337580132822,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,10.5966347330961,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3103020005400002,310000,60000,"3",12,1,47,4,3.42383880555761,2.66604058264597,3.44035551909588,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.0020998412042,8.38091517312361,1.89565408680683,48.771138892212,"2"
"上海市","2014",310100,3103010002600001,310000,45000,"8",15,0,40,4,3.61073765901143,2.38791145009522,3.10103601926429,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,10.7144177687525,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3103010004200001,310000,30000,"7",9,1,54,3,3,2.38791145009522,2.7097200991226,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,10.3089526606443,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3103010008810001,310000,80000,"13",16,0,37,3,2.75426015305004,2.40001016882767,2.93294875594057,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.289781913656,8.38091517312361,1.89565408680683,48.771138892212,"3"
"上海市","2014",310100,3103020005400001,310000,1e+05,"12",12,0,46,4,3.98681872533407,3.57204876532415,3.81274040998162,"上海",0.0532737521996064,0.141268853671084,0.6482,"上海市",5.65690117216488,16.138240974193,4362,1,"east",4362,11.5129254649702,8.38091517312361,1.89565408680683,48.771138892212,"3"
